,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
21,16999,5,Ford,Automatic,172148,White,Black,25,V6,Front-Wheel Drive,Gasoline,1,812,0
22,32936,0,Chevrolet,Automatic,5982,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,4,1831,0
23,16609,2,Dodge,Automatic,36658,White,Black,20,V6,Front-Wheel Drive,Gasoline,6,3096,0
24,29999,3,Chevrolet,Automatic,19167,White,Black,25,V8,Front-Wheel Drive,Gasoline,3,2412,0
25,22999,6,Chevrolet,Automatic,146607,Black,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,18,3589,0
26,40740,0,Audi,Automatic,3968,Black,Black,25,I4,All-Wheel Drive,Gasoline,12,6374,0
27,17499,3,Nissan,Automatic,35663,Silver,Black,24,V6,Front-Wheel Drive,Gasoline,9,2670,0
28,20299,1,Kia,Automatic,30000,Black,Black,22,V6,Front-Wheel Drive,Gasoline,6,2471,1
29,26799,2,Ford,Automatic,41281,Gray,Black,22,I4,Front-Wheel Drive,Gasoline,7,2984,0
30,9386,4,Ford,Automatic,36984,White,Black,108,I4,Front-Wheel Drive,Electric,9,4125,0
31,27795,2,Honda,Automatic,35878,White,Gray,22,V6,Front-Wheel Drive,Gasoline,16,4658,0
32,26899,3,Dodge,Automatic,31198,Red,Black,22,V6,Rear-Wheel Drive,Gasoline,10,2502,0
33,34498,2,Ford,Automatic,31604,Black,Black,18,V6,All-Wheel Drive,Gasoline,9,2048,0
34,17995,4,Jeep,Automatic,102568,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,9,1225,0
35,9695,3,Nissan,Automatic,93075,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,12,3855,0
36,46995,1,Toyota,Automatic,9916,Black,Black,14,V8,Four-Wheel Drive,Gasoline,6,1907,1
37,75994,4,Mercedes-Benz,Automatic,10563,Black,Black,20,V8,All-Wheel Drive,Gasoline,13,3582,0
38,19299,3,Chrysler,Automatic,24313,Gray,Black,22,V6,All-Wheel Drive,Gasoline,8,2880,0
39,27299,2,Jeep,Automatic,39835,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,11,2986,0
40,17500,6,Dodge,Automatic,65165,Black,Black,23,V6,Rear-Wheel Drive,Gasoline,3,1182,0
41,27699,2,Jeep,Automatic,36877,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,11,2981,0
42,10499,6,Honda,Automatic,95075,Silver,Black,33,I4,Front-Wheel Drive,Gasoline,7,712,0
